idn,author,recipient,year,place,location,lat,lon
992987555,"Adler, Hermann","Heilbut, Iwan",1948-1948,Basel,"Basel, Basel-City, Switzerland",47.55839,7.57327
992988071,"Schlösser, Manfred",,1960-1960,Darmstadt,"Darmstadt, Hesse, Germany",49.87167,8.65027
993001580,"Huder, Walther","Heilbut, Iwan",1966-1968,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
993005012,"Albers, Heinz","Heilbut, Iwan",1966-1969,Hamburg,"Hamburg, Hamburg, Germany",53.55073,9.99302
993005098,"Sinhuber, Bartel F.","Heilbut, Iwan",1969-1969,München,"Munich, Bavaria, Germany",48.13743,11.57549
993007120,"Knopf, Alfred A.","Heilbut, Iwan",1943-1944,"New York, NY","New York, New York, United States",40.71427,-74.00597
993007937,"Spiegel, Paul","Heilbut, Iwan",1963-1963,Düsseldorf,"Düsseldorf, North Rhine-Westphalia, Germany",51.22172,6.77616
993010652,"Koppell, Gabrielle K.","Heilbut, Iwan",1941-1941,"New York, NY","New York, New York, United States",40.71427,-74.00597
993011233,"Altenberg, Paul","Heilbut, Iwan",1960-1960,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
993011446,"La Farge, John","Heilbut, Iwan",1950-1950,"New York, NY","New York, New York, United States",40.71427,-74.00597
993011896,"Kleeman, Rita Halle","Heilbut, Iwan",1942-1942,"New York, NY","New York, New York, United States",40.71427,-74.00597
1001128176,,"Heilbut, Iwan",1963-1970,Hamburg,"Hamburg, Hamburg, Germany",53.55073,9.99302
993012221,"Zühlsdorff, Volkmar von","Heilbut, Iwan",1940-1940,"New York, NY","New York, New York, United States",40.71427,-74.00597
993012531,"Robbins, Jeannette","Heilbut, Iwan",1944-1946,"New York, NY","New York, New York, United States",40.71427,-74.00597
993388825,"Lilienfeld, Gerhard von","Heilbut, Iwan",1953-1953,Bamberg,"Bamberg, Bavaria, Germany",49.89873,10.90067
99338983X,"Gildner, Jay W.","Heilbut, Iwan",1958-1966,Berlin-Charlottenburg,"Charlottenburg, Berlin, Germany",52.51667,13.28333
993390617,"Scott, James A.","Heilbut, Iwan",1959-1959,Bremen,"Bremen, Bremen, Germany",53.07582,8.80717
993391540,,"Heilbut, Iwan",1953-1953,Darmstadt,"Darmstadt, Hesse, Germany",49.87167,8.65027
993392504,"Tuch, Hans N.",,1951-1966,Frankfurt am Main,"Frankfurt am Main, Hesse, Germany",50.11552,8.68417
993397840,"Nash, Marian L.","Heilbut, Iwan",1953-1960,Freiburg im Breisgau,"Freiburg, Baden-Württemberg, Germany",47.9959,7.85222
993401058,"Kapischke, Reinhard","Heilbut, Iwan",1959-1966,Hamburg,"Hamburg, Hamburg, Germany",53.55073,9.99302
993401325,"Szypula, Rudolf","Heilbut, Iwan",1953-1960,Heidelberg,"Heidelberg, Baden-Württemberg, Germany",49.40768,8.69079
993401600,"Warner, Robert B.","Heilbut, Iwan",1952-1952,Bad Hersfeld,"Bad Hersfeld, Hesse, Germany",50.87197,9.70891
993401783,"Klimt, Franz","Heilbut, Iwan",1953-1953,Hof,"Hof, Bavaria, Germany",50.31297,11.91261
993402186,"Schröter, Herbert","Heilbut, Iwan",1960-1960,Kaiserslautern,"K-Town, Rheinland-Pfalz, Germany",49.443,7.77161
99340359X,"Bauer, Helmut","Heilbut, Iwan",1953-1953,Ludwigsburg,"Ludwigsburg, Baden-Württemberg, Germany",48.89731,9.19161
993403794,"Huber, Naomi","Heilbut, Iwan",1953-1953,Mannheim,"Mannheim, Baden-Württemberg, Germany",49.4891,8.46694
993478867,"Trausil, Hans","Heilbut, Iwan",1950-1962,München,"Munich, Bavaria, Germany",48.13743,11.57549
993480136,"Koslowski, Helen A.","Heilbut, Iwan",1952-1959,Nürnberg,"Nuremberg, Bavaria, Germany",49.45421,11.07752
993480411,"Barker, James R.","Heilbut, Iwan",1953-1959,Regensburg,"Regensburg, Bavaria, Germany",49.01513,12.10161
993480748,"Fuhrmann, Günther","Heilbut, Iwan",1952-1953,Schweinfurt,"Schweinfurt, Bavaria, Germany",50.04937,10.22175
993481035,"Behrens, Robert","Heilbut, Iwan",1950-1950,Stuttgart,"Stuttgart, Baden-Württemberg, Germany",48.78232,9.17702
993481213,"Merkel, H.","Heilbut, Iwan",1953-1953,Straubing,"Straubing, Bavaria, Germany",48.88126,12.57385
993481809,"Maskow, Ilse","Heilbut, Iwan",1953-1953,Tübingen,"Tübingen, Baden-Württemberg, Germany",48.52266,9.05222
993482015,"Flach, Horst","Heilbut, Iwan",1953-1953,Wiesbaden,"Wiesbaden, Hesse, Germany",50.08258,8.24932
993496717,"Andres, Stefan","Heilbut, Iwan",1948-1948,Positano,"Positano, Campania, Italy",40.62829,14.48427
993497039,"Jewell, R. L.","Heilbut, Iwan",1948-1948,"New York, NY","New York, New York, United States",40.71427,-74.00597
993497209,,"Heilbut, Iwan",1968-1968,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
993497624,"Engert, Fritz","Heilbut, Iwan",1955-1955,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
993499716,"Arlt, Gustave O.","Heilbut, Iwan",1948-1948,"Los Angeles, Calif.","Los Angeles, California, United States",34.05223,-118.24368
993500072,"Ash, Adrienne","Heilbut, Iwan",1970-1972,Köln,"Cologne, North Rhine-Westphalia, Germany",50.93333,6.95
993500595,"Ashcroft, Peggy","Heilbut, Iwan",1956-1956,London-Hampstead,"Hampstead, England, United Kingdom",51.55744,-0.18213
993501222,"Auger, Mathilde","Heilbut, Iwan",1940-1940,Paris,"Paris, Île-de-France, France",48.85341,2.3488
993502040,"Asmus, Johannes","Heilbut, Iwan",1964-1964,Hamburg,"Hamburg, Hamburg, Germany",53.55073,9.99302
994632711,"Wiesenthal, Simon","Heilbut, Iwan",1967-1967,Wien,"Vienna, Vienna, Austria",48.20849,16.37208
993502571,"Georg, Manfred","Heilbut, Iwan",1941-1972,"New York, NY","New York, New York, United States",40.71427,-74.00597
993504531,"Aust, Hertha","Heilbut, Iwan",1959-1959,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
993505430,"Connelly, Edith","Heilbut, Iwan",1944-1945,"New York, NY","New York, New York, United States",40.71427,-74.00597
99351135X,"Nagel, Claus Dieter","Heilbut, Iwan",1971-1971,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
99352818X,"Bab, Julius","Heilbut, Iwan",1941-1950,"Roslyn Heights, NY u.a.",,,
993528899,"Gillen, Otto","Heilbut, Iwan",1955-1970,Karlsruhe,"Karlsruhe, Baden-Württemberg, Germany",49.00937,8.40444
993529631,"Baedeker, Peer","Heilbut, Iwan",1965-1968,Kemnath,"Kemnath, Bavaria, Germany",49.87007,11.89077
993531016,"Bannert, Karl Jos.","Heilbut, Iwan",1971-1971,Zittau,"Zittau, Saxony, Germany",50.89772,14.80764
1000373584,"Braun, ...","Heilbut, Iwan",1943-1943,"New York, NY","New York, New York, United States",40.71427,-74.00597
993587259,"Barfoed, E. W.",,1945-1945,Amsterdam,"Amsterdam, North Holland, Netherlands",52.37403,4.88969
993587984,"Barthelmeß, Erich","Heilbut, Iwan",1969-1970,Ravensburg u.a.,,,
993588476,"Bassermann, Albert","Heilbut, Iwan",1942-1944,"Los Angeles, Calif. u.a.","U.S. Bank Tower, California, United States",34.0507,-118.254
993593291,"Bauer, Franz","Heilbut, Iwan",1948-1949,Worms am Rhein,"Hamm am Rhein, Rheinland-Pfalz, Germany",49.7294,8.43056
993593453,"Baum, Vicki","Heilbut, Iwan",1943-1943,o.O.,"Port-au-Prince, Ouest, Haiti",18.54349,-72.33881
993593712,"Baumer, Franz","Heilbut, Iwan",1962-1962,München,"Munich, Bavaria, Germany",48.13743,11.57549
993594182,"Baur, Hans","Heilbut, Iwan",1965-1965,München,"Munich, Bavaria, Germany",48.13743,11.57549
993596630,"Münster, Clemens","Heilbut, Iwan",1949-1971,München,"Munich, Bavaria, Germany",48.13743,11.57549
993596983,"Fellerer, Hermann","Heilbut, Iwan",1969-1969,München,"Munich, Bavaria, Germany",48.13743,11.57549
993597181,,"Heilbut, Iwan",1952-1952,München,"Munich, Bavaria, Germany",48.13743,11.57549
993598587,"Beauclair, Gotthard de","Heilbut, Iwan",1948-1953,Hiddesen über Detmold,,,
993598684,,"Heilbut, Iwan",1961-1961,München,"Munich, Bavaria, Germany",48.13743,11.57549
993610617,"Beck, Anna",,1948-1951,Kopenhagen,"Copenhagen, Capital Region, Denmark",55.67594,12.56553
993611338,"Beer-Hofmann, Nae͏̈mah","Heilbut, Iwan",1946-1956,"New York, NY","New York, New York, United States",40.71427,-74.00597
993618022,"Bellardi, Ingrid","Heilbut, Iwan",1962-1962,München u.a.,,,
993619193,"Belmore, Manford","Heilbut, Iwan",1958-1958,Erlangen,"Erlangen, Bavaria, Germany",49.59099,11.00783
993620701,"Benedikt, Ernst Martin","Heilbut, Iwan",1967-1970,Wien,"Vienna, Vienna, Austria",48.20849,16.37208
99362135X,"Bergengruen, Werner","Heilbut, Iwan",1948-1948,Zürich-Oerlikon,"Zürich (Kreis 11) / Oerlikon, Zurich, Switzerland",47.40823,8.54258
993621716,"Steinberg, ...","Heilbut, Iwan",1958-1958,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
99362300X,"Zarek, Otto","Heilbut, Iwan",1955-1956,Berlin-Charlottenburg,"Charlottenburg, Berlin, Germany",52.51667,13.28333
99362345X,"Stiebler, Rosemarie","Heilbut, Iwan",1960-1970,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
993730078,"Geisler, Günther",,1958-1959,Berlin-Tempelhof,"Tempelhof, Berlin, Germany",52.46667,13.4
993734162,"Berlowitz, Klara","Heilbut, Iwan",1940-1941,Zürich,"Zurich, Zurich, Switzerland",47.36667,8.55
993735002,"Bermann Fischer, Gottfried","Heilbut, Iwan",1948-1949,"New York, NY u.a.","Brooklyn, New York, United States",40.6501,-73.94958
993735134,"Bezzel, Mathilde","Heilbut, Iwan",1949-1949,München,"Munich, Bavaria, Germany",48.13743,11.57549
993735223,"End, Gustav","Heilbut, Iwan",1951-1951,München,"Munich, Bavaria, Germany",48.13743,11.57549
993755992,"Bierbaum, Maria","Heilbut, Iwan",1964-1964,München-Riem,"Trudering, Bavaria, Germany",48.11667,11.68333
993756247,"Bildt, Paul",,1954-1962,München u.a.,,,
993756506,"Jung, Richard","Heilbut, Iwan",1950-1950,"New York, NY","New York, New York, United States",40.71427,-74.00597
993773265,"Bluhm, Walter","Heilbut, Iwan",1957-1957,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
993773737,"Blumenfeld, Fanny","Heilbut, Iwan",1954-1958,Auckland/NZ,"Auckland, Auckland, New Zealand",-36.84853,174.76349
99377427X,"Bockemühl, Erich","Heilbut, Iwan",1948-1948,Kettwig/Ruhr,,,
993774660,"Böckmann, Paul","Heilbut, Iwan",1948-1948,Heidelberg,"Heidelberg, Baden-Württemberg, Germany",49.40768,8.69079
993775314,"Boppel, Peter Max","Heilbut, Iwan",1960-1960,Waldshut,"Waldshut-Tiengen, Baden-Württemberg, Germany",47.62323,8.21717
99377637X,"Borcherdt, Hans Heinrich","Heilbut, Iwan",1948-1948,München,"Munich, Bavaria, Germany",48.13743,11.57549
99377671X,"Bothas, Dagmar","Heilbut, Iwan",1949-1949,München,"Munich, Bavaria, Germany",48.13743,11.57549
993776760,"Bouda, Franz","Heilbut, Iwan",1948-1948,Wien,"Vienna, Vienna, Austria",48.20849,16.37208
993798810,"Brezowsky, Christine","Heilbut, Iwan",1967-1967,München,"Munich, Bavaria, Germany",48.13743,11.57549
993799388,"Britting, Georg","Heilbut, Iwan",1948-1948,München,"Munich, Bavaria, Germany",48.13743,11.57549
993800882,"Broch, Hermann","Heilbut, Iwan",1948-1948,"Princeton, NJ","Princeton, New Jersey, United States",40.34872,-74.65905
993801269,"Bruckner, Hermann","Heilbut, Iwan",1963-1963,Sezze Romano,,,
993801994,"Herda, Wolfgang","Heilbut, Iwan",1960-1960,Oldenburg,"Oldenburg, Lower Saxony, Germany",53.14118,8.21467
99419286X,"Brüdern, Gerd","Heilbut, Iwan",1956-1956,München,"Munich, Bavaria, Germany",48.13743,11.57549
994251076,"Bruer, Ursula","Heilbut, Iwan",1955-1955,Berlin-Wilmersdorf,"Wilmersdorf, Berlin, Germany",52.48333,13.31667
994252005,,"Heilbut, Iwan",1964-1964,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
994252919,"Engesser, Klaus","Heilbut, Iwan",1965-1965,Berlin,"Berlin, Berlin, Germany",52.52437,13.41053
